phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
FLC,6915,Ei-2,CS76478,6.3,50.3,GER,0.46299999999999997,942
FLC,8378,Sap-0,,14.24,49.49,Czech Republic,0.862,679
FLC,8376,Sanna-2,CS77234,18.0,62.69,Sweden,1.629,682
FLC,6040,Kni-1,CS76970,13.4,55.66,Sweden,2.3209999999999997,839
FLC,6903,Bor-4,CS76454,16.2326,49.4013,Czech Republic,0.369,691
FLC,6016,Eds-1,CS76834,18.4,62.9,Sweden,2.084,701
FLC,6929,Kondara,CS76532,68.49,38.48,Tajikistan,1.02,996
FLC,6961,Se-0,CS76597,-3.53333,38.3333,Spain,3.63,21
FLC,6927,KNO-10,CS76973,-86.621,41.2816,US,0.382,914
FLC,6900,Bil-5,CS76709,18.484,63.324,Sweden,1.113,27
FLC,6899,Bay-0,,11.0,49.0,GER,0.196,31
FLC,6971,Ts-5,CS77388,2.93056,41.7194,Spain,2.26,715
FLC,6914,Edi-0,,-3.16028,55.9494,UK,1.811,168
FLC,8389,Ta-0,,14.5,49.5,Czech Republic,0.156,872
FLC,7524,Rmx-A02,,-86.511,42.036,US,0.5720000000000001,200
FLC,8254,Ang-0,,5.3,50.3,Belgium,1.1059999999999999,739
FLC,8249,Vimmerby,CS78845,15.8,57.7,Sweden,1.183,741
FLC,6922,Gu-0,CS76498,8.0,50.3,GER,0.125,54
FLC,6957,Pu2-8,CS77192,16.36,49.42,Czech Republic,2.175,60
FLC,6958,Ra-0,CS76582,3.3,46.0,France,3.397,64
FLC,6916,Est-1,,25.3,58.3,Russia,0.073,512
FLC,8235,Hod,CS76924,17.1,48.8,Czech Republic,1.169,356
FLC,6908,CIBC-5,CS78894,-0.6383,51.4083,UK,1.2930000000000001,1020
FLC,6907,CIBC-17,CS76770,-0.6383,51.4083,UK,0.857,1022
FLC,8369,Rev-1,CS77214,13.4504,55.6942,Sweden,3.065,385
FLC,8374,Rsch-4,,34.0,56.3,Russia,0.309,390
FLC,8423,Hov2-1,,13.74,56.1,Sweden,0.179,1035
FLC,8424,Kas-2,CS78905,77.0,35.0,India,5.957999999999999,1036
FLC,6910,Ct-1,,15.0,37.3,Italy,0.035,1112
FLC,6064,Nyl-2,CS77136,18.2763,62.9513,Sweden,1.234,394
FLC,6074,Ör-1,CS77150,16.1308,56.4573,Sweden,1.6280000000000001,400
FLC,6904,Br-0,CS76455,16.6166,49.2,Czech Republic,6.27,402
FLC,6966,Sq-1,CS77266,-0.6383,51.4083,UK,0.995,1044
FLC,8236,HSm,CS76941,15.76,49.33,Czech Republic,0.114,360
FLC,8240,Kulturen-1,CS76987,13.196,55.705,Sweden,1.4340000000000002,923
FLC,6918,Fäb-4,CS76851,18.3174,63.0165,Sweden,0.951,414
FLC,6930,Kz-1,,73.1,49.5,Kazakhstan,0.46299999999999997,1057
