accession_id	cloned	deleterious_allele	allele_group	name	CS_number	count	latitude	longitude	group	FT16_mean
88	FALSE	FALSE	a100	CYR	CS76790	FRA	47.4	0.683333	western_europe	50.5
108	FALSE	TRUE	a053	LDV-18	CS77013	FRA	48.5167	-4.06667	western_europe	52.25
139	FALSE	TRUE	a053	LDV-46	CS77014	FRA	48.5167	-4.06667	western_europe	52.75
159	FALSE	TRUE	a044	MAR2-3	CS77070	FRA	47.35	3.93333	western_europe	56.75
265	FALSE	TRUE	a077	PYL-6	CS77198	FRA	44.65	-1.16667	admixed	47.25
350	FALSE	TRUE	a062	TOU-A1-88	CS77382	FRA	46.6667	4.11667	western_europe	51.5
351	FALSE	FALSE	a048	TOU-A1-89	CS77383	FRA	46.6667	4.11667	western_europe	65.33333333
403	FALSE	FALSE	a102	Zdarec3	CS78873	CZE	49.3667	16.2667	central_europe	54.25
410	FALSE	FALSE	a039	Doubravnik7	CS76808	CZE	49.4211	16.3497	central_europe	65.25
424	FALSE	FALSE	a020	Draha2	CS76812	CZE	49.4112	16.2815	central_europe	68.25
428	FALSE	FALSE	a020	Borky1	CS76718	CZE	49.403	16.232	central_europe	59
430	FALSE	TRUE	a062	Gr-1	CS76496	AUT	47	15.5	central_europe	55
470	FALSE	FALSE	a043	NA	CS78943	USA	40.8313	-87.735	NA	NA
476	FALSE	FALSE	a043	NA	CS78944	USA	40.8313	-87.735	NA	NA
484	FALSE	FALSE	a043	NA	CS78945	USA	40.8313	-87.735	NA	NA
504	FALSE	FALSE	a043	NA	CS78946	USA	40.8313	-87.735	NA	NA
506	FALSE	FALSE	a043	NA	CS78947	USA	40.8313	-87.735	NA	NA
531	FALSE	FALSE	a043	NA	CS78948	USA	40.8313	-87.735	NA	NA
544	FALSE	FALSE	a043	NA	CS78949	USA	40.9076	-73.2089	NA	NA
546	FALSE	FALSE	a043	NA	CS78950	USA	40.9076	-73.2089	NA	NA
628	TRUE	FALSE	a009	NA	CS78951	USA	40.7777	-72.9069	NA	NA
630	FALSE	FALSE	a009	LI-OF-065	CS77036	USA	40.7777	-72.9069	western_europe	58.75
680	FALSE	FALSE	a043	NA	CS78952	USA	40.9447	-72.8615	NA	NA
681	FALSE	FALSE	a043	NA	CS78953	USA	40.9447	-72.8615	NA	NA
685	FALSE	FALSE	a043	NA	CS78954	USA	40.9064	-73.1493	NA	NA
687	FALSE	FALSE	a043	NA	CS78955	USA	40.9064	-73.1493	NA	NA
728	FALSE	FALSE	a043	NA	CS78956	USA	40.9352	-73.114	NA	NA
742	FALSE	FALSE	a043	NA	CS78957	USA	40.9352	-73.114	NA	NA
763	FALSE	TRUE	a097	Kar-1	CS76522	KGZ	42.3	74.3667	asia	39
765	FALSE	FALSE	a100	Sus-1	CS76607	KGZ	42.1833	73.4	asia	36.66666667
766	FALSE	FALSE	a100	Dja-1	CS76473	KGZ	42.5833	73.6333	asia	41.75
768	FALSE	FALSE	a100	Zal-1	CS76634	KGZ	42.8	76.35	asia	78.25
772	FALSE	FALSE	a101	Neo-6	CS76560	TJK	37.35	72.4667	asia	43.5
801	FALSE	FALSE	a009	KYC-33	CS76992	USA	37.9169	-84.4639	germany	88.25
853	FALSE	FALSE	a043	NA	CS78958	USA	41.7976	-86.6691	NA	NA
854	FALSE	FALSE	a043	NA	CS78959	USA	41.7976	-86.6691	NA	NA
867	FALSE	FALSE	a043	NA	CS78960	USA	41.8266	-86.4366	NA	NA
868	FALSE	FALSE	a043	NA	CS78961	USA	41.8266	-86.4366	NA	NA
870	FALSE	FALSE	a043	MIC-31	CS77082	USA	41.8266	-86.4366	germany	62.25
915	FALSE	TRUE	a062	LIN S-5	CS77040	USA	41.8972	-71.4378	germany	43.5
932	FALSE	TRUE	a045	CHA-41	CS76765	USA	42.3634	-71.1445	western_europe	68.75
991	FALSE	FALSE	a009	Ale-Stenar-41-1	CS76651	SWE	55.3833	14.05	south_sweden	106.75
992	FALSE	FALSE	a009	Ale-Stenar-44-4	CS76652	SWE	55.3833	14.05	south_sweden	100
997	FALSE	FALSE	a002	Ale-Stenar-56-14	CS76653	SWE	55.3833	14.05	south_sweden	87.5
1002	FALSE	FALSE	a007	Ale-Stenar-64-24	CS76654	SWE	55.3833	14.05	south_sweden	86.25
1006	FALSE	FALSE	a009	NA	CS77636	SWE	55.3833	14.05	NA	NA
1061	FALSE	FALSE	a009	Brösarp-11-135	CS76727	SWE	55.7167	14.1333	south_sweden	94.75
1062	FALSE	FALSE	a054	Brösarp-15-138	CS76728	SWE	55.7167	14.1333	south_sweden	68.25
1063	FALSE	FALSE	a009	Brösarp-21-140	CS76729	SWE	55.7167	14.1333	south_sweden	64.25
1066	FALSE	FALSE	a009	Brösarp-34-145	CS76730	SWE	55.7167	14.1333	south_sweden	NA
1070	FALSE	FALSE	a055	NA	CS77643	SWE	55.7167	14.1333	NA	NA
1158	FALSE	FALSE	a048	Aledal-6-49	CS76656	SWE	56.7	16.5167	south_sweden	88
1166	FALSE	FALSE	a048	NA	CS77651	SWE	56.7	16.5167	NA	NA
1254	FALSE	FALSE	a001	Tos-82-387	CS77379	SWE	59.4333	17.0167	north_sweden	106
1257	FALSE	FALSE	a001	Tos-95-393	CS77380	SWE	59.4333	17.0167	north_sweden	93.25
1313	FALSE	FALSE	a001	NA	CS77658	SWE	59.5667	16.8667	NA	NA
1317	FALSE	FALSE	a001	Ängsö-74-430	CS76665	SWE	59.5667	16.8667	admixed	102
1552	FALSE	FALSE	a001	Sku-30	CS77251	SWE	63.0833	18.3667	north_sweden	115.3333333
1612	FALSE	FALSE	a043	NA	CS78962	USA	41.9	-86.583	NA	NA
1622	FALSE	FALSE	a043	NA	CS78963	USA	41.9	-86.583	NA	NA
1651	FALSE	FALSE	a043	NA	CS78964	USA	43.3431	-86.4045	NA	NA
1652	FALSE	FALSE	a043	NA	CS78965	USA	43.3431	-86.4045	NA	NA
1676	FALSE	FALSE	a043	NA	CS78966	USA	41.879	-86.607	NA	NA
1684	FALSE	FALSE	a043	NA	CS78967	USA	41.879	-86.607	NA	NA
1739	FALSE	FALSE	a043	NA	CS78968	USA	42.405	-85.398	NA	NA
1741	FALSE	FALSE	a043	NA	CS78969	USA	42.405	-85.398	NA	NA
1756	FALSE	FALSE	a043	NA	CS78970	USA	42.184	-86.358	NA	NA
1757	FALSE	FALSE	a043	NA	CS78971	USA	42.184	-86.358	NA	NA
1793	FALSE	FALSE	a043	NA	CS78972	USA	41.847	-86.67	NA	NA
1797	FALSE	FALSE	a043	NA	CS78973	USA	41.847	-86.67	NA	NA
1819	FALSE	FALSE	a043	NA	CS78974	USA	41.8	-86.67	NA	NA
1820	FALSE	FALSE	a043	NA	CS78975	USA	41.8	-86.67	NA	NA
1829	FALSE	FALSE	a043	Mdn-1	CS77077	USA	42.051	-86.509	germany	99
1834	FALSE	FALSE	a043	NA	CS78976	USA	42.051	-86.509	NA	NA
1835	FALSE	FALSE	a043	NA	CS78977	USA	42.051	-86.509	NA	NA
1851	FALSE	FALSE	a043	NA	CS78978	USA	43.595	-86.2657	NA	NA
1852	FALSE	FALSE	a043	NA	CS78979	USA	43.595	-86.2657	NA	NA
1872	FALSE	FALSE	a043	MNF-Pot-75	CS77100	USA	43.595	-86.2657	germany	82.5
1890	FALSE	FALSE	a100	MNF-Riv-21	CS77101	USA	43.5139	-86.1859	asia	75.75
1925	FALSE	FALSE	a100	MNF-Che-2	CS77096	USA	43.5251	-86.1843	germany	89.5
1942	FALSE	FALSE	a043	NA	CS78980	USA	43.5251	-86.1843	NA	NA
1943	FALSE	FALSE	a043	NA	CS78981	USA	43.5251	-86.1843	NA	NA
1954	FALSE	FALSE	a059	MNF-Jac-12	CS77097	USA	43.5187	-86.1739	germany	101
2016	FALSE	FALSE	a100	MNF-Pin-39	CS77098	USA	43.5356	-86.1788	admixed	69.75
2017	FALSE	FALSE	a043	NA	CS78982	USA	43.5356	-86.1788	NA	NA
2031	FALSE	FALSE	a043	NA	CS78983	USA	42.166	-86.412	NA	NA
2053	FALSE	FALSE	a043	NA	CS78984	USA	42.166	-86.412	NA	NA
2057	FALSE	FALSE	a043	NA	CS77732	USA	42.166	-86.412	NA	NA
2081	FALSE	FALSE	a043	NA	CS78985	USA	43.2483	-86.3368	NA	NA
2091	FALSE	FALSE	a043	NA	CS78986	USA	43.2483	-86.3368	NA	NA
2106	FALSE	FALSE	a043	NA	CS78987	USA	43.2749	-86.0891	NA	NA
2108	FALSE	FALSE	a043	NA	CS78988	USA	43.2749	-86.0891	NA	NA
2141	FALSE	FALSE	a043	NA	CS78989	USA	43.2749	-86.0891	NA	NA
2159	FALSE	FALSE	a043	NA	CS78990	USA	42.148	-86.431	NA	NA
2166	FALSE	FALSE	a043	NA	CS78991	USA	42.148	-86.431	NA	NA
2171	FALSE	FALSE	a043	Paw-26	CS77164	USA	42.148	-86.431	germany	82.5
2191	FALSE	FALSE	a043	NA	CS78992	USA	43.7623	-86.3929	NA	NA
2212	FALSE	FALSE	a043	NA	CS78993	USA	43.7623	-86.3929	NA	NA
2239	FALSE	FALSE	a043	NA	CS78994	USA	42.184	-86.382	NA	NA
2240	FALSE	FALSE	a043	NA	CS78995	USA	42.184	-86.382	NA	NA
2278	FALSE	FALSE	a043	SLSP-35	CS77255	USA	43.665	-86.496	germany	85
2285	FALSE	FALSE	a043	NA	CS78996	USA	43.665	-86.496	NA	NA
2286	FALSE	FALSE	a043	NA	CS78997	USA	43.665	-86.496	NA	NA
2370	FALSE	FALSE	a043	NA	CS78998	USA	41.865	-86.646	NA	NA
2412	FALSE	FALSE	a043	NA	CS78999	USA	41.865	-86.646	NA	NA
4807	FALSE	FALSE	a100	UKSW06-207	CS78809	UK	50.4	-4.9	western_europe	87.5
4840	FALSE	TRUE	a041	NA	CS79000	UK	50.4	-4.9	NA	NA
4857	FALSE	TRUE	a003	NA	CS79001	UK	50.3	-4.9	NA	NA
4884	FALSE	TRUE	a041	UKSW06-285	CS78811	UK	50.3	-4.9	western_europe	49.5
4900	FALSE	TRUE	a041	UKSW06-302	CS78812	UK	50.3	-4.8	western_europe	50.25
4939	FALSE	TRUE	a003	NA	CS79002	UK	50.4	-4.7	NA	NA
4958	FALSE	FALSE	a035	UKSW06-360	CS78814	UK	50.5	-4.5	western_europe	100.25
5104	FALSE	TRUE	a044	UKSE06-252	CS78800	UK	51.3	0.5	germany	40.75
5151	FALSE	FALSE	a100	UKSE06-325	CS78801	UK	52.2	-1.7	admixed	73.66666667
