isolate_id	run	clade	fluconazole_mic	pheno	join_mode
4934_87	SRR14802903	I	128	R	exact
4000	SRR14802844	I	128	R	exact
5116_74	SRR14802898	I	128	R	exact
5233_75	SRR14802894	I	256	R	exact
5778	SRR14802851	I	256	R	exact
3775	SRR14802945	I	256	R	exact
6196	SRR14802848	I	256	R	exact
5173_28	SRR14802896	I	256	R	exact
5425	SRR14802919	I	256	R	exact
4645	SRR14802930	I	256	R	exact
5588	SRR14802908	I	256	R	exact
3732	SRR14802946	I	256	R	exact
2547_51	SRR14802842	III	32	R	exact
3562_78	SRR14802926	III	32	R	exact
5948	SRR14802850	III	32	R	exact
2526_42	SRR14802845	III	32	R	exact
2546_62	SRR14802843	III	32	R	exact
3289_82	SRR14802938	III	32	R	exact
3411_85	SRR14802932	III	32	R	exact
4152_33	SRR14802920	III	32	R	exact
4926_60	SRR14802906	III	32	R	exact
5405_95	SRR14802890	III	32	R	exact
5946_91	SRR14802874	III	32	R	exact
3560_76	SRR14802928	III	64	R	exact
2859_37	SRR14802835	III	64	R	exact
3788_90	SRR14802921	III	64	R	exact
4414_52	SRR14802918	III	64	R	exact
4888_50	SRR14802911	III	64	R	exact
4928_61	SRR14802905	III	64	R	exact
4930_73	SRR14802904	III	64	R	exact
5953_93	SRR14802873	III	64	R	exact
5483_43	SRR14802889	III	64	R	exact
5624_2	SRR14802880	III	64	R	exact
2491_79	SRR14802846	III	128	R	exact
2634_41	SRR14802839	III	128	R	exact
2678_36	SRR14802838	III	128	R	exact
6241_97	SRR14802872	III	128	R	exact
3225_40	SRR14802832	III	128	R	exact
3338_83	SRR14802937	III	128	R	exact
3405_70	SRR14802934	III	128	R	exact
3406_32	SRR14802933	III	128	R	exact
3511_84	SRR14802931	III	128	R	exact
3589_31	SRR14802925	III	128	R	exact
3706_89	SRR14802924	III	128	R	exact
4603_48	SRR14802916	III	128	R	exact
4642_47	SRR14802915	III	128	R	exact
4742_88	SRR14802914	III	128	R	exact
4836_68	SRR14802913	III	128	R	exact
4845_72	SRR14802912	III	128	R	exact
4895_49	SRR14802910	III	128	R	exact
4943_30	SRR14802902	III	128	R	exact
4944_56	SRR14802901	III	128	R	exact
5006_96	SRR14802900	III	128	R	exact
5109_29	SRR14802899	III	128	R	exact
5386_58	SRR14802891	III	128	R	exact
5543_54	SRR14802888	III	128	R	exact
5625_3	SRR14802879	III	128	R	exact
5771_92	SRR14802876	III	128	R	exact
5590	SRR14802897	III	256	R	exact
5591	SRR14802886	III	256	R	exact
5714	SRR14802875	III	256	R	exact
5715	SRR14802944	III	256	R	exact
5716	SRR14802858	III	256	R	exact
5762	SRR14802852	III	256	R	exact
5734_5	SRR14802877	III	256	R	exact
2609_35	SRR14802840	III	256	R	exact
2736_81	SRR14802836	III	256	R	exact
2980_63	SRR14802834	III	256	R	exact
3269_64	SRR14802940	III	256	R	exact
3402_71	SRR14802935	III	256	R	exact
3770_34	SRR14802922	III	256	R	exact
4925_94	SRR14802907	III	256	R	exact
5222_59	SRR14802895	III	256	R	exact
5305_44	SRR14802892	III	256	R	exact
5547_45	SRR14802887	III	256	R	exact
5561_57	SRR14802885	III	256	R	exact
5574_55	SRR14802884	III	256	R	exact
5580_66	SRR14802883	III	256	R	exact
5585_46	SRR14802882	III	256	R	exact
5593_67	SRR14802881	III	256	R	exact
5704_4	SRR14802878	III	256	R	exact
3758	SRR14802923	III	4	S	stem
3345	SRR14802936	III	8	S	stem
3561_77	SRR14802927	III	16	S	exact
6057	SRR14802849	III	16	S	exact
2566	SRR14802841	III	16	S	stem
4591	SRR14802917	III	16	S	stem
5268	SRR14802893	III	16	S	stem
2723_38	SRR14802837	IV	64	R	exact
4916	SRR14802909	IV	16	S	stem
