isolate_id	run	clade	fluconazole_mic	pheno	join_mode
3758	SRR14802923	III	4	S	stem
3345	SRR14802936	III	8	S	stem
3561_77	SRR14802927	III	16	S	exact
6057	SRR14802849	III	16	S	exact
2566	SRR14802841	III	16	S	stem
4591	SRR14802917	III	16	S	stem
5268	SRR14802893	III	16	S	stem
2547_51	SRR14802842	III	32	R	exact
2546_62	SRR14802843	III	32	R	exact
4926_60	SRR14802906	III	32	R	exact
2859_37	SRR14802835	III	64	R	exact
4928_61	SRR14802905	III	64	R	exact
5624_2	SRR14802880	III	64	R	exact
6241_97	SRR14802872	III	128	R	exact
3406_32	SRR14802933	III	128	R	exact
4603_48	SRR14802916	III	128	R	exact
4845_72	SRR14802912	III	128	R	exact
5006_96	SRR14802900	III	128	R	exact
5625_3	SRR14802879	III	128	R	exact
5714	SRR14802875	III	256	R	exact
5734_5	SRR14802877	III	256	R	exact
4934_87	SRR14802903	I	128	R	exact
4000	SRR14802844	I	128	R	exact
5116_74	SRR14802898	I	128	R	exact
5233_75	SRR14802894	I	256	R	exact
