mc1r	asip	observed_colour
EE	aa	black
EE	aa	black
EE	aa	black
Ee	Aa	bay
Ee	Aa	bay
Ee	Aa	bay
Ee	Aa	bay
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
Ee	aa	black
ee	AA	chestnut
ee	AA	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	chestnut
ee	Aa	grey
ee	Aa	grey
ee	Aa	grey
ee	Aa	grey
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	chestnut
ee	aa	grey
ee	aa	grey
ee	aa	grey
ee	aa	grey
