accession	phage_name	genus	family
MZ501046.1	Escherichia phage AdolfPortmann	Tequatrovirus	Straboviridae
MZ501047.1	Escherichia phage AlbertHofmann	Mosigvirus	Straboviridae
MZ501048.1	Escherichia phage AlexBoehm	Vequintavirus	unclassified
MZ501049.1	Escherichia phage AlfredRasser	Enquatrovirus	Schitoviridae
MZ501050.1	Escherichia phage AndreasVesalius	Tequatrovirus	Straboviridae
MZ501051.1	Escherichia phage AugustePiccard	Augustepiccardvirus	Drexlerviridae
MZ501052.1	Escherichia phage AugustSocin	Tequatrovirus	Straboviridae
MZ501053.1	Escherichia phage BrunoManser	Sertoctavirus	Drexlerviridae
MZ501054.1	Escherichia phage CarlMeissner	Vequintavirus	unclassified
MZ501055.1	Escherichia phage CarlSpitteler	Berlinvirus	Autotranscriptaviridae
MZ501056.1	Escherichia phage ChristianSchoenbein	Mosigvirus	Straboviridae
MZ501057.1	Escherichia phage ChristophMerian	Nonagvirus	unclassified
MZ501058.1	Escherichia phage DaisyDussoix	Tequintavirus	Demerecviridae
MZ501059.1	Escherichia phage DanielBernoulli	Tlsvirus	Drexlerviridae
MZ501060.1	Escherichia phage DrSchubert	Vequintavirus	unclassified
MZ501061.1	Escherichia phage EduardKellenberger	Vequintavirus	unclassified
MZ501062.1	Escherichia phage EmilHeitz	Vequintavirus	unclassified
MZ501063.1	Escherichia phage EmilieFrey	Justusliebigvirus	unclassified
MZ501064.1	Escherichia phage ErnstBeyeler	Berlinvirus	Autotranscriptaviridae
MZ501065.1	Escherichia phage FelixPlatter	Tequatrovirus	Straboviridae
MZ501066.1	Escherichia phage FriedrichMiescher	Tequatrovirus	Straboviridae
MZ501067.1	Escherichia phage FriedrichZschokke	Tequatrovirus	Straboviridae
MZ501068.1	Escherichia phage FritzHoffmann	Nonagvirus	unclassified
MZ501069.1	Escherichia phage FritzSarasin	Warwickvirus	Drexlerviridae
MZ501070.1	Escherichia phage GeorgBuechner	Dhillonvirus	unclassified
MZ501071.1	Escherichia phage GottfriedDienst	Seuratvirus	unclassified
MZ501072.1	Escherichia phage GreteKellenberger	Epseptimavirus	Demerecviridae
MZ501073.1	Escherichia phage HeinrichReichert	Vequintavirus	unclassified
MZ501074.1	Escherichia phage HildyBeyeler	Tequintavirus	Demerecviridae
MZ501075.1	Escherichia phage IrisVonRoten	Tequintavirus	Demerecviridae
MZ501076.1	Escherichia phage IrmaTschudi	Epseptimavirus	Demerecviridae
MZ501077.1	Escherichia phage IsaakIselin	Henuseptimavirus	Drexlerviridae
MZ501078.1	Escherichia phage JacobBurckhardt	Teseptimavirus	Autotranscriptaviridae
MZ501079.1	Escherichia phage JakobBernoulli	Hanrivervirus	Drexlerviridae
MZ501080.1	Veterinaerplatzvirus Jeanpiccard strain Bas02	Veterinaerplatzvirus	Drexlerviridae
MZ501081.1	Escherichia phage JeanTinguely	Teseptimavirus	Autotranscriptaviridae
MZ501082.1	Escherichia phage JeffSchatz	Vequintavirus	unclassified
MZ501083.1	Escherichia phage JohannBauhin	Vequintavirus	unclassified
MZ501084.1	Escherichia phage JohannJBalmer	Justusliebigvirus	unclassified
MZ501085.1	Escherichia phage JohannLBurckhardt	Henuseptimavirus	Drexlerviridae
MZ501086.1	Escherichia phage JohannRWettstein	Felixounavirus	Andersonviridae
MZ501087.1	Escherichia phage JulesPiccard	Julespiccardvirus	Drexlerviridae
MZ501088.1	Escherichia phage KarlBarth	Dhillonvirus	unclassified
MZ501089.1	Escherichia phage KarlGJung	Tequatrovirus	Straboviridae
MZ501090.1	Escherichia phage KarlJaspers	Hanrivervirus	Drexlerviridae
MZ501091.1	Escherichia phage KurtStettler	Seuratvirus	unclassified
MZ501092.1	Escherichia phage LeonhardEuler	Tunavirus	Drexlerviridae
MZ501093.1	Escherichia phage MaxBurger	Vequintavirus	unclassified
MZ501094.1	Escherichia phage MaxTheCat	Vequintavirus	unclassified
MZ501095.1	Escherichia phage Oekolampad	Dhillonvirus	unclassified
MZ501096.1	Escherichia phage Paracelsus	Tequatrovirus	Straboviridae
MZ501097.1	Escherichia phage PaulFeyerabend	Dhillonvirus	unclassified
MZ501098.1	Escherichia phage PaulHMueller	Tequatrovirus	Straboviridae
MZ501099.1	Changchunvirus paulsarasin strain Bas09	Changchunvirus	Drexlerviridae
MZ501100.1	Escherichia phage PaulScherrer	Justusliebigvirus	unclassified
MZ501101.1	Escherichia phage PeterMerian	Warwickvirus	Drexlerviridae
MZ501102.1	Escherichia phage RudolfGeigy	Vequintavirus	unclassified
MZ501103.1	Escherichia phage SelmaRatti	Tequintavirus	Demerecviridae
MZ501104.1	Escherichia phage SeppeHuegi	Seuratvirus	unclassified
MZ501105.1	Escherichia phage SuperGirl	Epseptimavirus	Demerecviridae
MZ501106.1	Escherichia phage TadeuszReichstein	Tequatrovirus	Straboviridae
MZ501107.1	Escherichia phage TheodorHerzl	Dhillonvirus	unclassified
MZ501108.1	Escherichia phage TrudiGerster	Epseptimavirus	Demerecviridae
MZ501109.1	Escherichia phage TrudiRoth	Epseptimavirus	Demerecviridae
MZ501110.1	Escherichia phage VogelGryff	Seuratvirus	unclassified
MZ501111.1	Escherichia phage WalterGehring	Vequintavirus	unclassified
MZ501112.1	Escherichia phage WildeMaa	Seuratvirus	unclassified
MZ501113.1	Escherichia phage WilhelmHis	Tequatrovirus	Straboviridae
