accession	receptor	raw_receptor	genus	rbp_cds
C16	Tsx	Tsx	Tequatrovirus	OQAVUALE_CDS_0084
L24	Tsx	Tsx	Tequatrovirus	ZTDBOBZQ_CDS_0086
LZ5	Tsx	Tsx	Tequatrovirus	VZJAUQEM_CDS_0086
RB2	Tsx	Tsx	Tequatrovirus	XIHQHGPR_CDS_0084
Sew9	Tsx	Tsx	Tequatrovirus	UGFUZLYE_CDS_0084
T6	Tsx	Tsx	Tequatrovirus	ZLCBAFUG_CDS_0254
JK38	Tsx	Tsx	Tequatrovirus	BLZDQSKH_CDS_0086
K11	Tsx	Tsx	Tequatrovirus	PZWWLIZS_CDS_0081
K9	Tsx	Tsx	Tequatrovirus	ZFENNYKY_CDS_0090
K18	Tsx	Tsx	Tequatrovirus	BWSWRHVE_CDS_0089
LZ6	Tsx	Tsx	Tequatrovirus	ITGDBUQU_CDS_0086
LZ3	Tsx	Tsx	Tequatrovirus	XTPMXKWF_CDS_0189
NpR	Tsx	Tsx	Tequatrovirus	QTYWOIZM_CDS_0085
NpS	Tsx	Tsx	Tequatrovirus	BPEHYGVS_CDS_0084
LZ1	Tsx	Tsx	Tequatrovirus	JZJHXETI_CDS_0085
LZ4	Tsx	Tsx	Tequatrovirus	TBNBVBQC_CDS_0086
LZ7	Tsx	Tsx	Tequatrovirus	UQSABSCK_CDS_0087
RB23	Tsx	Tsx	Tequatrovirus	YNPXDITX_CDS_0087
RB25	Tsx	Tsx	Tequatrovirus	JXEOMTQY_CDS_0083
RB26	Tsx	Tsx	Tequatrovirus	IQYLBBBO_CDS_0083
RB58	Tsx	Tsx	Tequatrovirus	EKEDCLNP_CDS_0087
CM8	Tsx	Tsx	Tequatrovirus	NUWIAWQO_CDS_0084
CM8m1	OmpA	OmpA	Tequatrovirus	PYPARLNW_CDS_0084
CM8m3	Tsx	Tsx	Tequatrovirus	MWOMGAOQ_CDS_0083
CM8m4	OmpA	OmpA	Tequatrovirus	ZHGXQUXJ_CDS_0083
JK23	Tsx	Tsx	Tequatrovirus	SYVRBAGZ_CDS_0086
RB14	Tsx	Tsx	Tequatrovirus	JMGRVARF_CDS_0085
L25	Tsx	Tsx	Tequatrovirus	TJHDMBDE_CDS_0262
NpJ	Tsx	Tsx	Tequatrovirus	XRMXLSKU_CDS_0092
NpW	Tsx	Tsx	Tequatrovirus	LFUJEZLZ_CDS_0092
K3	OmpA	OmpA	Tequatrovirus	STFWJAVE_CDS_0083
K5	OmpA	OmpA	Tequatrovirus	UMTBGGBX_CDS_0083
EV240	OmpA	OmpA	Tequatrovirus	CQHXHGTY_CDS_0087
LZ10	OmpA	OmpA	Tequatrovirus	PTQAQQBH_CDS_0082
LZ9	OmpA	OmpA	Tequatrovirus	TPONFJYW_CDS_0082
M1	OmpA	OmpA	Tequatrovirus	TSPGUEJU_CDS_0084
Ox4	OmpA	OmpA	Tequatrovirus	MLXVFIEK_CDS_0081
KCP072	OmpC	OmpC	Tequatrovirus	TBIJNPVQ_CDS_0085
T4	OmpC	OmpC	Tequatrovirus	ZRLSHTJO_CDS_0270
RB33	OmpC	OmpC	Tequatrovirus	YQQLUGHR_CDS_0093
TP7	OmpA	OmpA	Tequatrovirus	FVZSOALG_CDS_0088
TulB	OmpC	OmpC	Tequatrovirus	SPGOJHND_CDS_0221
RB51	OmpF	OmpF	Tequatrovirus	IYGUGHLA_CDS_0087
RB68m1	OmpF	OmpF	Tequatrovirus	ZIKDVGKM_CDS_0087
T2	FadL	FadL	Tequatrovirus	JKMQHYMY_CDS_0259
HSDP2	OmpC	OmpC	Tequatrovirus	ZHKDYPRP_CDS_0080
JK45	OmpC	OmpC	Mosigvirus	WGGFSIGS_CDS_0084
JK36	OmpC	OmpC	Mosigvirus	MLFBDFRT_CDS_0256
TP3	OmpC	OmpC	Mosigvirus	WNIOUXKK_CDS_0127
JK42	OmpC	OmpC	Mosigvirus	JNYHCRZR_CDS_0260
K20	OmpF	OmpF	Mosigvirus	WXXIAMAT_CDS_0065
RB69	OmpF	OmpF	Mosigvirus	FXQDZDSU_CDS_0233
CEV1	OmpF	OmpF	Mosigvirus	CDAPSMCL_CDS_0083
TP6	OmpC	OmpC	Mosigvirus	NOIYUPLF_CDS_0080
Mpec2	OmpC	OmpC	Mosigvirus	FQIRGBNP_CDS_0080
Mpec3	OmpC	OmpC	Mosigvirus	RQVAOTME_CDS_0082
Mpec6	OmpC	OmpC	Mosigvirus	GNOVCSBV_CDS_0079
Mpec11	OmpC	OmpC	Mosigvirus	XMXUIZOT_CDS_0080
JK32	Tsx	Tsx	Krischvirus	VLQRUXLL_CDS_0209
CPL00151	Tsx	Tsx	Krishvirus	OHFDTLDD_CDS_0210
CPL00187	Tsx	Tsx	Krishvirus	TLBSOFHV_CDS_0208
RB49	OmpA	OmpA	Krischvirus	KRVRHSUN_CDS_0080
KCP064	LPS_core	LPS	Felixounavirus	Unknown
CPL00169S	LPS_core	LPS	Felixounavirus	Unknown
P2vir	LPS_core	LPS	Peduovirus	Unknown
P1vir	LPS_core	LPS	Punavirus	Unknown
Goslar	LPS_core	LPS	Goslarvirus	Unknown
RB36	BtuB	BtuB	Warwickvirus	COVCZIAE_CDS_0023
JK16	BtuB	BtuB	Warwickvirus	SKEOLNZE_CDS_0022
NpAA	BtuB	BtuB	Warwickvirus	QZJTEHSA_CDS_0023
KCP055	BtuB	BtuB	Warwickvirus	ZOAECHEC_CDS_0022
Sew11	FhuA	FhuA	Warwickvirus	QWLYZJZW_CDS_0023
Ox2	BtuB	BtuB	Warwickvirus	WRIGTSOZ_CDS_0022
RB38	BtuB	BtuB	Warwickvirus	OLVFODCR_CDS_0022
CPL00169L	BtuB	BtuB	Warwickvirus	AFWJDQWY_CDS_0022
CPL00144L	BtuB	BtuB	Warwickvirus	FSSQHZVW_CDS_0022
CPL00159	BtuB	BtuB	Warwickvirus	QUEQFZLP_CDS_0059
CPL00160	BtuB	BtuB	Warwickvirus	RUALHKWG_CDS_0022
CPL00168	BtuB	BtuB	Warwickvirus	YFFEFGBY_CDS_0022
CPL00188L	BtuB	BtuB	Warwickvirus	SDHVTHFS_CDS_0093
CPL00224	BtuB	BtuB	Warwickvirus	LCEJJJMR_CDS_0022
Phoecom	FhuA	FhuA	Hanrivervirus	ONKZKUIP_CDS_0025
CPL00172	BtuB	BtuB	Henuseptimavirus	Unknown
EV116	TolC	TolC	Tlsvirus	VUVXYUOA_CDS_0029
NpY	FhuA	FhuA	Jahatvirus	QTLHSYQD_CDS_0024
Borec	FhuA	FhuA	Veterinaerplatzvirus	BGHCFRKB_CDS_0024
CPL00221	FhuA	FhuA;NupG	Christensenvirus	ENYEITVA_CDS_0026;ENYEITVA_CDS_0024
T1	FhuA	FhuA	Tunavirus	YSENSDAY_CDS_0023
CPL00134L	FhuA	FhuA		EERUHVEO_CDS_0025
T5	FhuA	FhuA	Tequintavirus	CINDXXZK_CDS_0188
CEV2	FhuA	FhuA	Tequintavirus	ZPONHKJF_CDS_0202
EV212	BtuB	BtuB	Tequintavirus	TCQUYFII_CDS_0204
K8	BtuB	BtuB	Tequintavirus	YVOPXKLF_CDS_0034
EV219	BtuB	BtuB	Tequintavirus	MIXWYNPB_CDS_0200
Mpec24	BtuB	BtuB	Tequintavirus	IARUSBAU_CDS_0201
Mpec26	BtuB	BtuB	Tequintavirus	LCQEZHLA_CDS_0197
CPL00124	BtuB	BtuB	Tequintavirus	LWNOBFAD_CDS_0204
CPL00229	BtuB	BtuB	Tequintavirus	SSOQNKQH_CDS_0178
NpU	BtuB	BtuB	Tequintavirus	GAJPFNYJ_CDS_0208
CPL00220	BtuB	BtuB	Tequintavirus	CPL00220_CDS0193
NpG	BtuB	BtuB	Epseptimavirus	NGVQWIFR_CDS_0201
CPL00136	BtuB	BtuB	Epseptimavirus	QYUUIVOP_CDS_0202
CPL00146S	BtuB	BtuB	Epseptimavirus	PSUDZULR_CDS_0203
CPL00152	BtuB	BtuB	Epseptimavirus	DSRBNMJD_CDS_0203
CPL00262	BtuB	BtuB	Epseptimavirus	NITIJKHF_CDS_0203
HSDP3	LptD	LptD	Seuratvirus	WSPMETMS_CDS_0022
K25	BtuB	BtuB	Dhillonvirus	GNNLPLNT_CDS_0026
CPL00259L	FhuA	FhuA	Dhillonvirus	NRAOJAPM_CDS_0025
KCP017	FhuA	FhuA	Dhillonvirus	GKIPICCI_CDS_0030
KCP042	FhuA	FhuA	Dhillonvirus	NWAWTSII_CDS_0027
KCP045	FhuA	FhuA	Dhillonvirus	VPWLSHXC_CDS_0028
KCP068	LptD	LptD	Dhillonvirus	DKTSWBHU_CDS_0025
Lambda	LamB	LamB	Lambdavirus	DKFPHVKR_CDS_0022
NpB	YncD	YncD		PDUVQMEZ_CDS_0021
NpD	BtuB	BtuB		BGUMGJSG_CDS_0023
NpK	FhuA	FhuA		WFSUXHEI_CDS_0019
NpA	YncD	YncD		GHAEWHHB_CDS_0019
NpO	LamB	LamB		BXBOOQYK_CDS_0031
T7	LPS_core	LPS	Teseptimavirus	KQQJLHYB_CDS_0052
