# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b1270	btuR	N	N	N	N	N	N	N	N	NO
b0008	talB	N	N	N	N	N	N	N	N	NO
b0333	prpC	N	N	N	N	N	N	N	N	NO
b0429	cyoD	N	N	N	N	N	N	N	N	NO
b0430	cyoC	N	N	N	N	N	N	N	N	NO
b0431	cyoB	N	N	N	N	N	N	N	N	NO
b0432	cyoA	N	N	N	N	N	N	N	N	NO
b0723	sdhA	N	N	N	E	N	N	N	E	YES
b0756	galM	N	N	N	N	N	N	N	N	NO
b0978	appC	N	N	N	N	N	N	N	N	NO
b0979	appB	N	N	N	N	N	N	N	N	NO
b1276	acnA	N	N	N	N	N	N	N	N	NO
b1611	fumC	N	N	N	N	N	N	N	N	NO
b1612	fumA	N	N	N	N	N	N	N	N	NO
b1676	pykF	N	N	N	N	N	N	N	N	NO
b1852	zwf	N	N	N	N	N	N	N	N	NO
b1854	pykA	N	N	N	N	N	N	N	N	NO
b2029	gnd	N	N	N	N	N	N	N	N	NO
b2276	nuoN	N	N	N	N	N	N	N	N	NO
b2278	nuoL	N	N	N	N	N	N	N	N	NO
b2279	nuoK	N	N	N	N	N	N	N	N	NO
b2280	nuoJ	N	N	N	N	N	N	N	N	NO
b2281	nuoI	N	N	N	N	N	N	N	N	NO
b2284	nuoF	N	N	N	N	N	N	N	N	NO
b2285	nuoE	N	N	N	N	N	N	N	N	NO
b2287	nuoB	N	N	N	N	N	N	N	N	NO
b2288	nuoA	N	N	N	N	N	N	N	N	NO
b2388	glk	N	N	N	N	N	N	N	N	NO
b2463	maeB	N	N	N	N	N	N	N	N	NO
b2464	talA	N	N	N	N	N	N	N	N	NO
b2465	tktB	N	N	N	N	N	N	N	N	NO
b0574	cusB	N	N	N	N	N	N	N	N	NO
b2976	glcB	N	N	N	N	N	N	N	N	NO
b3386	rpe	N	N	N	N	N	N	N	N	NO
b3403	pck	N	N	N	N	N	N	N	N	NO
b3612	gpmI	N	N	N	N	N	N	N	N	NO
b3946	fsaB	N	N	N	N	N	N	N	N	NO
b3951	pflD	N	N	N	N	N	N	N	N	NO
b3952	pflC	N	N	N	N	N	N	N	N	NO
b4014	aceB	N	N	N	N	N	N	N	N	NO
b4015	aceA	N	N	N	N	N	N	N	N	NO
b4025	pgi	N	N	N	N	N	N	N	N	NO
b4090	rpiB	N	N	N	N	N	N	N	N	NO
b4122	fumB	N	N	N	N	N	N	N	N	NO
b4383	deoB	N	N	N	N	N	N	N	N	NO
b4395	ytjC	N	N	N	N	N	N	N	N	NO
b1197	treA	N	N	N	N	N	N	N	N	NO
b2049	cpsB	N	N	N	N	N	N	N	N	NO
b3751	rbsB	N	N	N	N	N	N	N	N	NO
b1243	oppA	N	N	N	N	N	N	N	N	NO
b0871	poxB	N	N	N	N	N	N	N	N	NO
b1380	ldhA	N	N	N	N	N	N	N	N	NO
b2133	dld	N	N	N	N	N	N	N	N	NO
b3605	lldD	N	N	E	N	N	N	E	N	YES
b2935	tktA	N	N	N	N	N	N	N	N	NO
b0575	cusA	N	N	N	N	N	N	N	N	NO
b0150	fhuA	N	N	N	N	N	N	N	N	NO
b3725	pstB	N	N	N	N	N	N	N	N	NO
b0411	tsx	N	N	N	N	N	N	N	N	NO
b3430	glgC	N	N	N	N	N	N	N	N	NO
b2501	ppk	N	N	N	N	N	N	N	N	NO
b2155	cirA	N	N	N	N	N	N	N	N	NO
b2813	mltA	N	N	N	N	N	N	N	N	NO
b2701	mltB	N	N	N	N	N	N	N	N	NO
b2344	fadL	N	N	N	N	N	N	N	N	NO
