phenocode	phenotype	category	num_cases	num_controls
AB1TUBERCU_MILIARY	Miliary tuberculosis	I Certain infectious and parasitic diseases (AB1_)	60	497285
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	124	439048
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	197	444292
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	260	488977
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	334	497501
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	5341	488977
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2782	485458
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	1571	444292
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	64	496577
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	5071	488977
AB1_DIBTHERIA	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	54	439048
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	394	485458
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3838	486087
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	145	499726
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	27918	439048
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	39997	444292
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1163	485458
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	622	499726
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	148	497572
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	148	497572
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4677	480316
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic	I Certain infectious and parasitic diseases (AB1_)	78	499754
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	299	499754
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	56056	444292
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	431	485458
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	150	439048
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	10516	489832
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	170	499430
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	80	499430
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	75	499430
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	425	480316
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	282	439048
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	995	486087
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	11371	488977
