trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
biomarkers	30600	Albumin	both_sexes	385205
biomarkers	30610	Alkaline phosphatase	both_sexes	420633
biomarkers	30620	Alanine aminotransferase	both_sexes	420449
biomarkers	30630	Apolipoprotein A	both_sexes	382929
biomarkers	30640	Apolipoprotein B	both_sexes	418505
biomarkers	30650	Aspartate aminotransferase	both_sexes	419034
biomarkers	30660	Direct bilirubin	both_sexes	357198
biomarkers	30670	Urea	both_sexes	420326
biomarkers	30680	Calcium	both_sexes	385066
biomarkers	30690	Cholesterol	both_sexes	420607
biomarkers	30700	Creatinine	both_sexes	420401
biomarkers	30710	C-reactive protein	both_sexes	419693
biomarkers	30720	Cystatin C	both_sexes	420588
biomarkers	30730	Gamma glutamyltransferase	both_sexes	420390
biomarkers	30740	Glucose	both_sexes	384760
biomarkers	30750	Glycated haemoglobin (HbA1c)	both_sexes	419434
biomarkers	30760	HDL cholesterol	both_sexes	385023
biomarkers	30770	IGF-1	both_sexes	418326
biomarkers	30780	LDL direct	both_sexes	419831
biomarkers	30790	Lipoprotein A	both_sexes	335796
biomarkers	30800	Oestradiol	both_sexes	67623
biomarkers	30810	Phosphate	both_sexes	384475
biomarkers	30820	Rheumatoid factor	both_sexes	37017
biomarkers	30830	SHBG	both_sexes	381526
biomarkers	30840	Total bilirubin	both_sexes	418830
biomarkers	30850	Testosterone	both_sexes	381081
biomarkers	30860	Total protein	both_sexes	384773
biomarkers	30870	Triglycerides	both_sexes	420271
biomarkers	30880	Urate	both_sexes	420090
biomarkers	30890	Vitamin D	both_sexes	401516
categorical	100020	Typical diet yesterday	both_sexes	51132
categorical	100240	Coffee consumed	both_sexes	43088
categorical	100260	Added milk to instant coffee	both_sexes	25234
categorical	100280	Added milk to filtered coffee	both_sexes	7694
categorical	100320	Added milk to espresso	both_sexes	279
categorical	100350	Added milk to other coffee type	both_sexes	314
categorical	100360	Decaffeinated coffee	both_sexes	6953
categorical	100390	Tea consumed	both_sexes	49561
categorical	100460	Added milk to standard tea	both_sexes	40568
categorical	100470	Decaffeinated tea	both_sexes	2943
categorical	100480	Added milk to rooibos tea	both_sexes	1049
categorical	100510	Other non-alcoholic drinks	both_sexes	8292
categorical	100580	Alcohol consumed	both_sexes	29880
categorical	100760	Breakfast cereal consumed	both_sexes	40652
categorical	100880	Dried fruit added to cereal	both_sexes	17620
categorical	100890	Milk added to cereal	both_sexes	34557
categorical	100920	Type milk consumed	both_sexes	3116
categorical	100920	Type milk consumed	both_sexes	38477
categorical	100920	Type milk consumed	both_sexes	12378
categorical	100920	Type milk consumed	both_sexes	3613
categorical	100920	Type milk consumed	both_sexes	1963
categorical	100920	Type milk consumed	both_sexes	757
categorical	100920	Type milk consumed	both_sexes	362
categorical	100920	Type milk consumed	both_sexes	337
categorical	100920	Type milk consumed	both_sexes	269
categorical	100920	Type milk consumed	both_sexes	110
categorical	100920	Type milk consumed	both_sexes	272
categorical	100920	Type milk consumed	both_sexes	107
categorical	100940	Bread consumed	both_sexes	53019
categorical	102080	Yogurt/ice-cream consumers	both_sexes	25033
categorical	102130	Dessert consumers	both_sexes	19827
categorical	102250	Sweet snack consumers	both_sexes	33530
categorical	102400	Savoury snack consumers	both_sexes	22292
categorical	102520	Soup consumers	both_sexes	8290
categorical	102700	Starchy food consumers	both_sexes	17267
categorical	102800	Cheese consumers	both_sexes	27588
categorical	102930	Egg consumers	both_sexes	13194
categorical	103000	Meat consumers	both_sexes	42704
categorical	103120	Fat removed from meat	both_sexes	14792
categorical	103130	Skin removed from poultry	both_sexes	13276
categorical	103140	Fish consumer	both_sexes	17772
categorical	103250	Vegetarian alternatives intake	both_sexes	2299
categorical	103310	Spreads/sauces consumers	both_sexes	30822
categorical	103990	Vegetable consumers	both_sexes	51082
categorical	104400	Fruit consumers	both_sexes	50637
categorical	104670	Vitamin supplement user	both_sexes	25455
categorical	110001	Invitation to complete online 24-hour recall dietary questionnaire, acceptance	both_sexes	82913
categorical	1150	Usual side of head for mobile phone use	both_sexes	132448
categorical	1150	Usual side of head for mobile phone use	both_sexes	213277
categorical	1150	Usual side of head for mobile phone use	both_sexes	24073
categorical	120	Birth weight known	both_sexes	243544
categorical	120	Birth weight known	both_sexes	2020
categorical	120	Birth weight known	both_sexes	195664
categorical	1210	Snoring	both_sexes	256618
categorical	12187	Brain MRI measuring method	both_sexes	35931
categorical	12187	Brain MRI measuring method	both_sexes	273
categorical	12187	Brain MRI measuring method	both_sexes	1162
categorical	12188	Operator indicated brain MRI measurement completed	both_sexes	30332
categorical	12223	Abdominal MRI measuring method	both_sexes	36446
categorical	12223	Abdominal MRI measuring method	both_sexes	305
categorical	12223	Abdominal MRI measuring method	both_sexes	679
categorical	12224	Abdominal MRI measurement completed	both_sexes	30956
categorical	12253	DXA measuring method	both_sexes	36968
categorical	12253	DXA measuring method	both_sexes	688
categorical	12253	DXA measuring method	both_sexes	471
categorical	12254	DXA measurement completed	both_sexes	35274
categorical	1418	Milk type used	both_sexes	29755
categorical	1418	Milk type used	both_sexes	285337
categorical	1418	Milk type used	both_sexes	88962
categorical	1418	Milk type used	both_sexes	16821
categorical	1418	Milk type used	both_sexes	5459
categorical	1418	Milk type used	both_sexes	14103
categorical	1428	Spread type	both_sexes	46263
categorical	1428	Spread type	both_sexes	159176
categorical	1428	Spread type	both_sexes	2310
categorical	1428	Spread type	both_sexes	231868
categorical	1448	Bread type	both_sexes	113176
categorical	1448	Bread type	both_sexes	52820
categorical	1448	Bread type	both_sexes	241268
categorical	1448	Bread type	both_sexes	17637
categorical	1468	Cereal type	both_sexes	61391
categorical	1468	Cereal type	both_sexes	65218
categorical	1468	Cereal type	both_sexes	93015
