pgs_id	name	trait	n_variants	ftp_scoring_file
PGS000001	PRS77_BC	Breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000001/ScoringFiles/PGS000001.txt.gz
PGS000002	PRS77_ERpos	ER-positive breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000002/ScoringFiles/PGS000002.txt.gz
PGS000003	PRS77_ERneg	ER-negative breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000003/ScoringFiles/PGS000003.txt.gz
PGS000004	PRS313_BC	Breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000004/ScoringFiles/PGS000004.txt.gz
PGS000005	PRS313_ERpos	ER-positive breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000005/ScoringFiles/PGS000005.txt.gz
PGS000006	PRS313_ERneg	ER-negative breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000006/ScoringFiles/PGS000006.txt.gz
PGS000007	PRS3820_BC	Breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000007/ScoringFiles/PGS000007.txt.gz
PGS000008	PRS3820_ERpos	ER-positive breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000008/ScoringFiles/PGS000008.txt.gz
PGS000009	PRS3820_ERneg	ER-negative breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000009/ScoringFiles/PGS000009.txt.gz
PGS000010	GRS27	Coronary heart disease	27	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000010/ScoringFiles/PGS000010.txt.gz
PGS000011	GRS50	Coronary artery disease	50	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000011/ScoringFiles/PGS000011.txt.gz
PGS000012	GRS49K	Coronary artery disease	49310	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000012/ScoringFiles/PGS000012.txt.gz
PGS000013	GPS_CAD	Coronary artery disease	6630150	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000013/ScoringFiles/PGS000013.txt.gz
PGS000014	GPS_T2D	Type 2 diabetes (T2D)	6917436	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000014/ScoringFiles/PGS000014.txt.gz
PGS000015	GPS_BC	Breast cancer	5218	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000015/ScoringFiles/PGS000015.txt.gz
PGS000016	GPS_AF	Atrial fibrillation	6730541	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000016/ScoringFiles/PGS000016.txt.gz
PGS000017	GPS_IBD	Inflammatory bowel disease	6907112	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000017/ScoringFiles/PGS000017.txt.gz
PGS000018	metaGRS_CAD	Coronary artery disease	1745179	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000018/ScoringFiles/PGS000018.txt.gz
PGS000019	GRS_CAD	Coronary artery disease	192	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000019/ScoringFiles/PGS000019.txt.gz
PGS000020	dGRS1000	Type 2 diabetes (T2D)	7502	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000020/ScoringFiles/PGS000020.txt.gz
PGS000021	GRS1	Type 1 diabetes (T1D)	33	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000021/ScoringFiles/PGS000021.txt.gz
PGS000022	T1D_GRS	Type 1 diabetes (T1D)	37	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000022/ScoringFiles/PGS000022.txt.gz
PGS000023	AA_GRS	Type 1 diabetes (T1D)	7	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000023/ScoringFiles/PGS000023.txt.gz
PGS000024	GRS2	Type 1 diabetes (T1D)	85	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000024/ScoringFiles/PGS000024.txt.gz
PGS000025	GRS	Alzheimer's disease	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000025/ScoringFiles/PGS000025.txt.gz
PGS000026	PHS	Alzheimer's disease	33	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000026/ScoringFiles/PGS000026.txt.gz
PGS000027	GPS_BMI	Body mass index (BMI)	2100302	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000027/ScoringFiles/PGS000027.txt.gz
PGS000028	PRS	Breast cancer	83	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000028/ScoringFiles/PGS000028.txt.gz
PGS000029	PRS_AS	Breast cancer	76	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000029/ScoringFiles/PGS000029.txt.gz
PGS000030	PrCa	Prostate cancer	147	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000030/ScoringFiles/PGS000030.txt.gz
PGS000031	GRSt	Type 2 diabetes (T2D)	62	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000031/ScoringFiles/PGS000031.txt.gz
PGS000032	GRSB	Type 2 diabetes (based on SNPs involved in β-cell function)	20	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000032/ScoringFiles/PGS000032.txt.gz
PGS000033	GRSIR	Type 2 diabetes (based on SNPs involved in insulin resistance)	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000033/ScoringFiles/PGS000033.txt.gz
PGS000034	GRS_BMI	Adult body mass index (BMI)	97	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000034/ScoringFiles/PGS000034.txt.gz
PGS000035	PRS_AF	Atrial fibrillation	1168	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000035/ScoringFiles/PGS000035.txt.gz
PGS000036	gePS_T2D	Type 2 diabetes (T2D)	171249	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000036/ScoringFiles/PGS000036.txt.gz
PGS000037	PGS_AST	Asthma	15	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000037/ScoringFiles/PGS000037.txt.gz
PGS000038	PRS90	Stroke	90	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000038/ScoringFiles/PGS000038.txt.gz
PGS000039	metaGRS_ischaemicstroke	Ischemic stroke	3225583	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/PGS000039.txt.gz
