DMS_id	UniProt_ID	taxon	source_organism	seq_len	n_single_mutants	cpu_tractable
TCRG1_MOUSE_Tsuboyama_2023_1E0L	TCRG1_MOUSE	Eukaryote	Mus musculus	37	621	yes
PIN1_HUMAN_Tsuboyama_2023_1I6C	PIN1_HUMAN	Human	Homo sapiens	39	686	yes
YNZC_BACSU_Tsuboyama_2023_2JVD	YNZC_BACSU	Prokaryote	Bacillus subtilis	39	714	yes
SQSTM_MOUSE_Tsuboyama_2023_2RRU	SQSTM_MOUSE	Eukaryote	Mus musculus	40	707	yes
VG08_BPP22_Tsuboyama_2023_2GP8	VG08_BPP22	Virus	Salmonella phage P22 (Bacteriophage P22)	40	723	yes
MAFG_MOUSE_Tsuboyama_2023_1K1V	MAFG_MOUSE	Eukaryote	Mus musculus	41	762	yes
THO1_YEAST_Tsuboyama_2023_2WQG	THO1_YEAST	Eukaryote	Saccharomyces cerevisiae	41	656	yes
OTU7A_HUMAN_Tsuboyama_2023_2L2D	OTU7A_HUMAN	Human	Homo sapiens	42	635	yes
SAV1_MOUSE_Tsuboyama_2023_2YSB	SAV1_MOUSE	Eukaryote	Mus musculus	43	679	yes
ODP2_GEOSE_Tsuboyama_2023_1W4G	ODP2_GEOSE	Prokaryote	Geobacillus stearothermophilus	44	669	yes
RD23A_HUMAN_Tsuboyama_2023_1IFY	RD23A_HUMAN	Human	Homo sapiens	44	798	yes
SDA_BACSU_Tsuboyama_2023_1PV0	SDA_BACSU	Prokaryote	Bacillus subtilis	44	834	yes
AMFR_HUMAN_Tsuboyama_2023_4G3O	AMFR_HUMAN	Human	Homo sapiens	47	820	yes
SR43C_ARATH_Tsuboyama_2023_2N88	SR43C_ARATH	Eukaryote	Arabidopsis thaliana	48	889	yes
CBX4_HUMAN_Tsuboyama_2023_2K28	CBX4_HUMAN	Human	Homo sapiens	50	917	yes
BCHB_CHLTE_Tsuboyama_2023_2KRU	BCHB_CHLTE	Prokaryote	Chlorobaculum tepidum	52	890	yes
CUE1_YEAST_Tsuboyama_2023_2MYX	CUE1_YEAST	Eukaryote	Saccharomyces cerevisiae	52	955	yes
PITX2_HUMAN_Tsuboyama_2023_2L7M	PITX2_HUMAN	Human	Homo sapiens	52	938	yes
RBP1_HUMAN_Tsuboyama_2023_2KWH	RBP1_HUMAN	Human	Homo sapiens	52	975	yes
YAIA_ECOLI_Tsuboyama_2023_2KVT	YAIA_ECOLI	Prokaryote	Escherichia coli	52	928	yes
POLG_PESV_Tsuboyama_2023_2MXD	POLG_PESV	Virus	Porcine enteric sapovirus (isolate Swine	53	995	yes
